Content,Video title,Video publish time,Duration,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs dislikes) (%),Shares,Comments added,Remix count,Remix views,Engaged views,Average view duration,Average percentage viewed (%),Stayed to watch (%),Hypes,Hype points,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
TvEze4Hui0M,MOM shouting GREATER THAN silence,"Dec 14, 2025",8.0,0,0,9,1,90.0,0,0,,,351,0:00:08,103.58,47.56,0,0,881,1.026,0,365,4.38
edVEtEc6GcU,Cheyyalaa,"Dec 31, 2025",3.0,0,0,6,0,100.0,0,1,,,25,0:00:06,205.15,54.35,0,0,91,0.0542,0,191,5.24
D2vfeYqeXlM,How many times will she come? 🤔,"Oct 30, 2025",12.0,0,0,4,0,100.0,0,0,,,45,0:00:12,101.64,44.12,0,0,135,0.175,0,514,2.53
FnFMgSgxbKc,Disrespect ❎ No Respect ✅,"Oct 31, 2025",9.0,0,0,10,1,90.91,2,0,,,758,0:00:08,93.35,58.8,0,0,1657,1.9994,0,635,3.31
kMXo92RNzcU,TELUSU KADA LITE Srujana Version😂,"Dec 4, 2025",11.0,0,0,13,0,100.0,0,0,,,346,0:00:08,73.82,39.98,0,0,919,1.056,0,455,3.52
J9hoNWzomOQ,DON'T miss the girls reaction!,"Oct 30, 2025",22.0,0,0,6,0,100.0,0,0,,,42,0:00:19,90.75,43.96,0,0,117,0.2544,0,533,1.88
hn85UXF5s2M,When you hit your head,"Nov 20, 2025",5.0,0,0,11,0,100.0,0,1,,,377,0:00:06,132.04,45.14,0,0,1185,0.9649,0,548,2.92
NPWYAjsdmRM,My LAST BRAIN CELL when I try to motivate..☠️😅,"Nov 23, 2025",6.0,0,0,12,0,100.0,1,1,,,372,0:00:08,142.28,42.87,0,0,1203,1.124,0,503,3.38
Mi5AdbCB1Eg,Raaja saab frustration!!,"Jan 10, 2026",6.0,0,0,17,0,100.0,0,2,,,565,0:00:07,127.2,40.13,0,0,1871,1.6266,0,153,7.84
TUpEm29XCk0,When I see couples on yt/insta..,"Jan 12, 2026",5.0,0,0,28,0,100.0,2,1,,,607,0:00:07,143.25,40.33,0,0,2058,1.7097,0,113,10.62
Djd_UENZNfs,Stay hydrated 💧 Stay out of drama 👀,"Nov 10, 2025",6.0,0,0,36,0,100.0,1,0,,,648,0:00:06,115.07,39.09,0,0,2092,1.6247,0,1175,1.36
wUB2I83SRjM,Senior👽 VS Junior🤖,"Nov 21, 2025",16.0,0,0,9,1,90.0,0,1,,,711,0:00:13,83.68,56.75,0,0,1558,2.9073,0,565,3.36
2VN_GVZS59U,Bathroom lo singer nidralestadu.!!,"Jan 14, 2026",5.0,0,0,6,0,100.0,2,2,,,553,0:00:07,148.7,48.42,0,0,1666,1.4681,0,97,13.4
rbzq1IKxjTg,BOB Mode ❎ GOD Mode ✅,"Nov 16, 2025",11.0,0,0,38,0,100.0,0,0,,,648,0:00:10,96.29,50.12,0,0,1607,2.22,0,894,3.69
R_r1dkfSh-I,Unemployed me in WINTER 🥱😴,"Dec 8, 2025",11.0,0,0,6,0,100.0,0,1,,,30,0:00:33,306.84,56.0,0,0,77,0.288,0,387,2.84
KS5KxdGNgvk,how I react VS how I want to react,"Nov 5, 2025",12.0,0,0,24,0,100.0,0,0,,,462,0:00:10,84.62,39.25,0,0,1347,1.6382,0,854,2.22
fxOC0MO3L-g,Pan India No 1 SONG ❎ AD ✅,"Dec 11, 2025",16.0,0,0,18,2,90.0,0,1,,,1550,0:00:12,76.46,67.19,0,0,2721,5.6885,0,556,3.24
JFYNVSdCiFY,When you are unemployed but so is your relatives kid..,"Dec 26, 2025",6.0,0,0,16,0,100.0,1,2,,,876,0:00:07,126.4,61.55,0,0,2255,2.0903,0,239,4.6
71kyrvc9V4U,Loose pant but Mass dance 👖😅🔥,"Nov 14, 2025",8.0,0,0,9,0,100.0,0,0,,,82,0:00:13,171.38,59.09,0,0,231,0.3374,0,959,3.44
JKPbX9_Q8qo,Indian girls reaction to marriage - PART 1,"Dec 21, 2025",8.0,0,0,15,0,100.0,1,2,,,753,0:00:08,112.0,39.72,0,0,2269,2.3573,0,780,3.59
Fc1mf_Rn7_Q,Jab I cook..😭,"Nov 22, 2025",6.0,0,0,15,0,100.0,1,2,,,432,0:00:07,126.52,52.08,0,0,1264,1.0931,0,568,3.87
GSWZSWb5pkg,One problem to another,"Nov 9, 2025",7.0,0,0,15,0,100.0,0,0,,,726,0:00:07,110.77,54.92,0,0,1792,1.9169,0,1104,1.18
